JobTitle,JobSubCategories,Clean_Job_title
Rollout Specialist / SME Procurement 100% (all genders),tech.53.58,Rollout Specialist SME Procurement all genders
Product Owner & Project Manager,tech.53.55,Product Owner Project Manager
Technical SEO Manager m/f/d hybrid work model 80-100%,tech.53.59,Technical SEO Manager hybrid work model 
Project and Process Manager 80 - 100% (w/m/d),tech.53.58,Project and Process Manager 
IT - Senior PMO 100% (m/f/d),tech.53.58,IT Senior PMO 
Digital Business Analyst / Projektleiter (m/w/d) 60-100 %,tech.53.58,Digital Business Analyst Projektleiter 
Middle Office Risk Analyst (FX Rates),admin.9.12,Middle Office Risk Analyst FX Rates
Senior Commercial and Strategy Manager,admin.2.155,Senior Commercial and Strategy Manager
"Product Manager - In-vivo Study Design, Execution & Analysis",admin.40.36,Product Manager Invivo Study Design Execution Analysis
"Business Analysis Officer, P-2, TA (364 days), post # 121944, Operations and Finance PFP, Geneva, Switzerland",admin.20.150,Business Analysis Officer P TA days post Operations and Finance PFP Geneva Switzerland
Digital Solution Lead Health (m/f/d),tech.53.55,Digital Solution Lead Health 
"Business Analyst Network Steering (80-100%, all genders)",admin.20.24,Business Analyst Network Steering all genders
Projektleiter & Business Analyst (w/m) 80%-100%,admin.20.24,Projektleiter Business Analyst 
Digital Solution Lead Industry 4.0 (m/f/d),tech.53.55,Digital Solution Lead Industry 
Business analyst (h/f) 100%,admin.20.24,Business analyst hf 
Senior Statistician (m/f/d),admin.20.32,Senior Statistician 
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
Berater Vorsorge (w/m/d) - Quereinsteigende willkommen,admin.20.24,Berater Vorsorge Quereinsteigende willkommen
