jobtitle,jobsubcategories
Elektroinstallateur EFZ,['tech.89.74']
Arztsekretär / Med. Praxisassistent,['service.111.113']
Spezialist,['service.120.122']
Praktikant,['admin.2.3']
Verkäufer im Aussendienst Gastronomie,['admin.45.2026']
Adm. Sachbearbeiter Kindesschutz,['admin.2.3']
"Service Desk Mitarbeiter, Schwerpunkt IT Security / M365 / Azure",['admin.2.3']
Dipl. Pflegefachfrau / Pflegefachmann,['service.111.115']
Dipl. Pflegefachfrau / Fachmann,['service.111.115']
Juristin/Jurist,['admin.2.7']
Projektleiter Service Engineering,['tech.72.73']
Elektroingenieur,['tech.81.83']
System Engineer,['tech.72.73']
Verkaufsleiter,['admin.45.51']
Spezialist VAD Medizin,['admin.20.33']
Head Operations Metallized Polymers,['tech.81.86']
ICT Supporterin / ICT Supporter,['tech.53.61']
Ingenieur développement électrique,['tech.89.74']
Ingenieur Elektro- und Sicherheitstechnik,['tech.72.73']
Elektroingenieur / Projektleiter,['tech.72.73']
"Projektleiter Revision, Reparatur & Refit",['admin.20.150']
Dipl. Pflegefachfrau / Pflegefachmann mit Berufsbildner-Funktion,['service.111.115']
Stellvertretende Teamleiterin/Teamleiter interdisziplinäre Station,['service.111.115']
Dipl. Expertin / Experte Notfallpflege NDS,['service.111.115']
Senior Projektleiter,['tech.53.58']
Fachexperte strategische Netzplanung,['tech.72.73']
Ingenieur Leistungselektronik und Antriebstechnik,['tech.72.73']
Project Manager / System Engineer R&D,['admin.20.150']
Leiter Vermessung,['tech.89.93']
Projektmanager Kundengeschäft Netz Smart Meter Solution,['tech.72.73']
Arbeitsinspektor als ASA- und Arbeitszeitspezialist,['service.140.141']
Arealreinger,['tech.101.19']
Sicherheitsmitarbeiter Ordnungsdienst im Stundenlohn,['service.140.141']
Hochschulpraktikum Markets & Regulation,['tech.72.73']
Sales Engineer Elektromobilität,['tech.72.79']
Wissenschaftliche Mitarbeiter Gesundheitstourismus,['service.120.122']
Dipl. Physiotherapeut Beckenboden,['service.111.118']
Qualitätsbeauftragte/Qualitätsbeauftragter,['admin.2.2023']
Hochschulpraktikum erneuerbare Energien,['tech.72.73']
Technicien chef d'équipe,['tech.89.74']
Spitalsekretär,['admin.2.3']
Dipl. Pflegefachfrau,['service.111.115']
Projektleiter Angebotserstellung Region Basel / Bern,['tech.89.93']
Sachbearbeiter Administration,['admin.2.3']
Actuary Risk P&C,['admin.20.32']
Leiter Betreuung und Pflege,['service.111.116']
Pharmafachperson Armeeapotheke,['tech.66.67']
Leiter Sprachdienst Französisch,['admin.2.155']
Sachbearbeiter,['admin.2.3']
Jurist,['admin.2.7']
Kaufmännische Assistentin / Kaufmännischen Assistenten Backoffice,['admin.2.3']
Leiter Ressourcen und Stab,['admin.2.6']
responsable État-major et ressources,['admin.2.6']
capo Risorse e Stato maggiore,['admin.2.6']
Kampagnen- und Kommunikationsmanager Schwerpunkt Digital,['admin.40.41']
Senior Vertriebsmanager mit Schwerpunkt Multichannel,['admin.20.27']
Kundenberater Privatkunden Basis,['admin.20.21']
Privatkundenberater / Teilmarktverantwortliche,['admin.20.27']
ICT-System-Spezialist Trading-IT,['tech.53.59']
Responsabile Credit Office,['admin.20.26']
Digital Subscription Growth Manager | Blick,['admin.40.41']
Fachbereichsleiter,['service.140.141']
Kunststofftechnologe / Einrichter,['tech.81.86']
KassiererIn,['admin.45.47']
Aushilfe VerkäuferIn,['admin.45.47']
AbteilungsleiterIn,['admin.45.47']
ICT-Projektleiter,['tech.53.58']
Steuerkommissär,['admin.9.16']
Mitarbeiter Alp Parpan & Stall Plantahof Waldhaus,['tech.101.106']
Leiter Betrieb im Bezirk 3 Samedan,['tech.89.94']
Submissionsverantwortliche und Stabs-Mitarbeiter des Tiefbauamts,['admin.35.37']
Jurist als Gerichtsschreiber,['admin.2.7']
Koordinator Häusliche Gewalt,['service.120.125']
Project Manager Technology & Development Projects,['tech.72.73']
Senior Group Consolidation and Transactions Manager,['admin.9.11']
Erfahrene Entwicklungsingenieur PCB-Design,['tech.53.60']
6G Networks' Engineer / Horizon Europe Project Lead,['tech.53.57']
Praktikantin / Praktikant Inventarisation,['tech.89.90']
Abteilungsleiterin / Abteilungsleiter Inventarisation,['admin.45.47']
Chauffeur Kat. B,['admin.35.38']
Verkäufer TopShop Matzingen,['admin.45.47']
Detailhandelsfachfrau EFZ,['admin.45.47']
Mitarbeiter Verkauf LANDI Laden Felben TG,['admin.45.47']
Sachbearbeiter Verkaufs-Innendienst,['admin.45.48']
Detailhandelsfachfrau mit Rayon Verantwortung Früchte & Gemüse,['admin.45.47']
Elektroniker EFZ,['tech.72.73']
Leiter Elektronikfertigung,['tech.72.73']
Instandhaltungselektroniker,['tech.72.151']
Gerätemonteur,['tech.81.86']
Systemtechniker Radio und TV,['tech.53.60']
Lehrstelle als Multimediaelektroniker EFZ,['tech.72.73']
Lehrstelle als Multimediaelektroniker,['tech.72.73']
Multimediaelektroniker in Projektleitung,['tech.72.73']
Multimediaelektroniker EFZ,['tech.72.73']
Lehrstelle Multimediaelektroniker,['tech.72.73']
Lehrstelle Multimedia-Elektroniker,['tech.72.73']
Lernende Multimediaelektroniker,['tech.72.73']
Leiter Hausdienst,['tech.101.19']
Service Desk Agent Professional,['admin.45.50']
responsable de projet senior surveillance maladies transmissibles,['admin.2.3']
Verkaufsberater Privatkunden und Gewerbe,['admin.45.48']
"Manager - Financial Accounting Advisory Services in Bern, Basel  Zürich",['admin.9.10']
Kundendienstmitarbeiter,['admin.45.49']
Küchenchef,['service.126.128']
Business Analyst,['admin.20.34']
Betriebselektriker Instandhaltung Produktionsanlagen,['tech.72.73']
Servicetechniker,['tech.72.79']
Betriebselektriker,['tech.72.73']
Elektromechaniker,['tech.72.73']
Unterhalt und Wartung Techniker,['tech.81.87']
Mechaniker / Mechanikerin Instandhaltung und Qualitätssicherung,['tech.81.86']
Technicien de maintenance infrastructure,['tech.81.87']
Mitarbeiter Instandhaltung/Mechanik,['tech.72.75']
Instandhaltungsmechaniker,['tech.101.102']
Leitung Technik,['tech.72.73']
Instandhaltungstechniker,['tech.101.102']
Teamleitung HR- und Klientenservice,['admin.2.4']
Technicien de maintenance frigoriste,['tech.89.100']
Machine Maintenance,['admin.20.27']
Mitarbeiter Instandhaltung / Betriebselektriker,['tech.81.87']
Instandhalter Güterwagen,['tech.101.102']
Sachbearbeiter Service Clientèle,['admin.45.49']
Technische Fachperson,['tech.89.97']
Verantwortliche Pflegesupport,['service.111.116']
System Engineer Linux/Unix,['tech.53.60']
Maintenance Technician,['tech.81.87']
Mechaniker,['tech.81.76']
TECHNICIEN DE MAINTENANCE INFRASTRUCTURE,['tech.81.87']
Infrastructure Systems Manager - Energy Supply & Disposal,['tech.53.60']
Netzelektriker EFZ,['tech.89.74']
Netzelektriker,['tech.89.74']
Zusatzausbildung als Netzelektriker EFZ,['tech.89.74']
Freie Lehrstelle Netzelektriker EFZ,['tech.89.74']
Lehrstelle als Netzelektriker EFZ Fachrichtung Energie,['tech.89.74']
Zweit-  Zusatzausbildung als Netzelektriker,['tech.89.74']
Lehrstelle als Netzelektriker mit EFZ,['tech.89.74']
Secrétaire technique,['admin.2.3']
Projektleiter  Junior Projektleiter im Bereich Elektroinstallation,['tech.89.74']
Lehrstelle als Netzelektriker,['tech.89.74']
Elektriker,['tech.72.73']
Elektro-Servicemonteur,['tech.89.74']
Quereinstieg / Zweitlehre Netzelektriker EFZ,['tech.72.73']
LWL Monteur / Spleisser Netzbau,['tech.72.73']
Leiter Montage Instandhaltung,['tech.72.73']
Dipl. Radiologiefachmann,['service.111.113']
dipl. Radiologiefachfrau / Radiologiefachmann,['service.111.114']
Systemtechniker Solar,['tech.89.74']
"Techniker Gebäudeautomation, Smarthome und KNX",['tech.89.74']
Servicetechniker / Elektroniker / Multimedia,['tech.72.73']
"Techniker, Multimediaelektroniker  verwandte Berufe",['tech.72.73']
Softwareentwickler AV Technik,['tech.72.73']
Operator Sensorproduktion,['tech.81.86']
Technischer Sachbearbeiter Verkauf-Innendienst,['admin.45.49']
Customer Service Engineer HW,['tech.72.73']
Teamleiter Instandhaltung,['tech.72.79']
Projektleiter Elektroinstallation,['tech.72.73']
Techniker Brandmeldesysteme,['tech.72.79']
Servicetechniker/Kundendienstmonteure Region Egerkingen und Region Root,['tech.72.73']
Elektroinstallateur,['tech.89.74']
Elektriker Teamleiter,['tech.72.73']
Vom Elektriker zum Matrosen und zum Kapitän,['tech.89.74']
Teamleiter mechanischer Unterhalt,['tech.81.86']
Legal Counsel Litigation,['admin.20.31']
TreuhandsachbearbeiterIN,['admin.9.17']
Mitarbeiter Services Hochspannungsleitungen,['service.126.129']
Gruppenleiter Netzbau,['tech.72.79']
Arbeiten unter Spannung,['service.111.115']
Regionale Anlagenverantwortliche Übertragungsleitung,['tech.81.86']
Radiologiefachperson,['service.111.113']
Servicetechniker Solar,['tech.89.74']
Responsable infrastructure technique,['tech.89.74']
Elektroinstallateur EFZ  Montage-Elektriker EFZ,['tech.89.74']
Elektro-Profi im Verkaufsinnendienst,['admin.45.49']
Installateur - électricien,['tech.89.74']
Monteur Schwachstrom,['tech.89.74']
Montage-Elektriker Region Basel-Land,['tech.89.74']
Montage-Elektriker,['tech.89.74']
Montagetechnikerin / Montagetechniker,['tech.81.82']
Fachperson Operationstechnik/TOA,['service.111.115']
